Date,Price,Rf,Open,High,Low
"Apr 06, 2002",7.154,-0.097751711,7.154,7.154,7.154
"Apr 08, 2002",7.201,0.656975119,7.201,7.201,7.201
"Apr 09, 2002",7.254,0.736008888,7.254,7.254,7.254
"Apr 10, 2002",7.299,0.620347395,7.299,7.299,7.299
"Apr 11, 2002",7.256,-0.589121798,7.256,7.256,7.256
"Apr 12, 2002",7.266,0.137816979,7.266,7.266,7.266
"Apr 13, 2002",7.262,-0.055050922,7.262,7.262,7.262
"Apr 15, 2002",7.302,0.550812448,7.302,7.302,7.302
"Apr 16, 2002",7.279,-0.314982197,7.279,7.279,7.279
"Apr 17, 2002",7.299,0.274763017,7.299,7.299,7.299
"Apr 18, 2002",7.302,0.041101521,7.302,7.302,7.302
"Apr 19, 2002",7.335,0.451930978,7.335,7.335,7.335
"Apr 20, 2002",7.324,-0.149965917,7.324,7.324,7.324
"Apr 22, 2002",7.348,0.327689787,7.348,7.348,7.348
"Apr 23, 2002",7.305,-0.58519325,7.305,7.305,7.305
"Apr 24, 2002",7.289,-0.219028063,7.289,7.289,7.289
"Apr 26, 2002",7.294,0.068596515,7.294,7.294,7.294
"Apr 27, 2002",7.268,-0.356457362,7.268,7.268,7.268
"Apr 29, 2002",7.338,0.963126032,7.338,7.338,7.338
"Apr 30, 2002",7.41,0.981193786,7.41,7.41,7.41
"May 02, 2002",7.443,0.44534413,7.443,7.443,7.443
"May 03, 2002",7.541,1.316673384,7.541,7.541,7.541
"May 04, 2002",7.584,0.570216152,7.584,7.584,7.584
"May 06, 2002",7.467,-1.542721519,7.467,7.467,7.467
"May 07, 2002",7.436,-0.415160037,7.436,7.436,7.436
"May 08, 2002",7.515,1.062399139,7.515,7.515,7.515
"May 09, 2002",7.576,0.811709914,7.576,7.576,7.576
"May 10, 2002",7.718,1.874340021,7.718,7.718,7.718
"May 11, 2002",7.704,-0.181394144,7.704,7.704,7.704
"May 13, 2002",7.661,-0.55815161,7.661,7.661,7.661
"May 14, 2002",7.785,1.618587652,7.785,7.785,7.785
"May 15, 2002",7.841,0.719332049,7.841,7.841,7.841
"May 16, 2002",7.872,0.395357735,7.872,7.872,7.872
"May 17, 2002",7.999,1.613313008,7.999,7.999,7.999
"May 18, 2002",8.094,1.187648456,8.094,8.094,8.094
"May 20, 2002",8.166,0.889547813,8.166,8.166,8.166
"May 21, 2002",8.198,0.391868724,8.198,8.198,8.198
"May 22, 2002",8.035,-1.988289827,8.035,8.035,8.035
"May 23, 2002",7.926,-1.356565028,7.926,7.926,7.926
"May 24, 2002",7.78,-1.842038859,7.78,7.78,7.78
"May 27, 2002",7.848,0.87403599,7.848,7.848,7.848
"May 28, 2002",7.715,-1.694699286,7.715,7.715,7.715
"May 29, 2002",7.677,-0.492546986,7.677,7.677,7.677
"May 30, 2002",7.739,0.807607138,7.739,7.739,7.739
"May 31, 2002",7.723,-0.206745058,7.723,7.723,7.723
"Jun 01, 2002",7.738,0.194225042,7.738,7.738,7.738
"Jun 03, 2002",7.713,-0.323080899,7.713,7.713,7.713
"Jun 04, 2002",7.775,0.803837677,7.775,7.775,7.775
"Jun 05, 2002",7.691,-1.080385852,7.691,7.691,7.691
"Jun 06, 2002",7.705,0.182030945,7.705,7.705,7.705
"Jun 07, 2002",7.75,0.58403634,7.75,7.75,7.75
"Jun 08, 2002",7.716,-0.438709677,7.716,7.716,7.716
"Jun 10, 2002",7.646,-0.907205806,7.646,7.646,7.646
"Jun 11, 2002",7.59,-0.732409103,7.59,7.59,7.59
"Jun 12, 2002",7.617,0.355731225,7.617,7.617,7.617
"Jun 13, 2002",7.649,0.420112905,7.649,7.649,7.649
"Jun 14, 2002",7.639,-0.130736044,7.639,7.639,7.639
"Jun 15, 2002",7.627,-0.157088624,7.627,7.627,7.627
"Jun 17, 2002",7.669,0.550675233,7.669,7.669,7.669
"Jun 18, 2002",7.686,0.221671665,7.686,7.686,7.686
"Jun 19, 2002",7.644,-0.546448087,7.644,7.644,7.644
"Jun 20, 2002",7.624,-0.261643119,7.624,7.624,7.624
"Jun 21, 2002",7.651,0.354144806,7.651,7.651,7.651
"Jun 22, 2002",7.635,-0.20912299,7.635,7.635,7.635
"Jun 24, 2002",7.654,0.248853962,7.654,7.654,7.654
"Jun 25, 2002",7.647,-0.091455448,7.647,7.647,7.647
"Jun 26, 2002",7.599,-0.627697136,7.599,7.599,7.599
"Jun 27, 2002",7.412,-2.460850112,7.412,7.412,7.412
"Jun 28, 2002",7.485,0.984889369,7.485,7.485,7.485
"Jul 01, 2002",7.459,-0.347361389,7.459,7.459,7.459
"Jul 02, 2002",7.427,-0.429011932,7.427,7.427,7.427
"Jul 03, 2002",7.421,-0.08078632,7.421,7.421,7.421
"Jul 04, 2002",7.434,0.175178547,7.434,7.434,7.434
"Jul 05, 2002",7.422,-0.1614205,7.422,7.422,7.422
"Jul 06, 2002",7.401,-0.282942603,7.401,7.401,7.401
"Jul 08, 2002",7.337,-0.864748007,7.337,7.337,7.337
"Jul 09, 2002",7.34,0.040888647,7.34,7.34,7.34
"Jul 10, 2002",7.362,0.29972752,7.362,7.362,7.362
"Jul 11, 2002",7.343,-0.258082043,7.343,7.343,7.343
"Jul 12, 2002",7.39,0.640065368,7.39,7.39,7.39
"Jul 13, 2002",7.386,-0.054127199,7.386,7.386,7.386
"Jul 15, 2002",7.376,-0.135391281,7.376,7.376,7.376
"Jul 16, 2002",7.377,0.013557484,7.377,7.377,7.377
"Jul 17, 2002",7.354,-0.311779856,7.354,7.354,7.354
"Jul 18, 2002",7.331,-0.312754963,7.331,7.331,7.331
"Jul 19, 2002",7.33,-0.013640704,7.33,7.33,7.33
"Jul 20, 2002",7.332,0.02728513,7.332,7.332,7.332
"Jul 22, 2002",7.335,0.04091653,7.335,7.335,7.335
"Jul 23, 2002",7.338,0.040899796,7.338,7.338,7.338
"Jul 24, 2002",7.332,-0.081766149,7.332,7.332,7.332
"Jul 25, 2002",7.332,0,7.332,7.332,7.332
"Jul 26, 2002",7.3,-0.43644299,7.3,7.3,7.3
"Jul 27, 2002",7.272,-0.383561644,7.272,7.272,7.272
"Jul 29, 2002",7.322,0.687568757,7.322,7.322,7.322
"Jul 30, 2002",7.318,-0.054629883,7.318,7.318,7.318
"Jul 31, 2002",7.308,-0.136649358,7.308,7.308,7.308
"Aug 01, 2002",7.28,-0.383141762,7.28,7.28,7.28
"Aug 02, 2002",7.264,-0.21978022,7.264,7.264,7.264
"Aug 03, 2002",7.224,-0.550660793,7.224,7.224,7.224
"Aug 05, 2002",7.195,-0.401439646,7.195,7.195,7.195
"Aug 06, 2002",7.201,0.083391244,7.201,7.201,7.201
"Aug 07, 2002",7.167,-0.472156645,7.167,7.167,7.167
"Aug 08, 2002",7.184,0.23719827,7.184,7.184,7.184
"Aug 09, 2002",7.228,0.61247216,7.228,7.228,7.228
"Aug 10, 2002",7.221,-0.0968456,7.221,7.221,7.221
"Aug 12, 2002",7.195,-0.360060933,7.195,7.195,7.195
"Aug 13, 2002",7.199,0.055594163,7.199,7.199,7.199
"Aug 14, 2002",7.215,0.222253091,7.215,7.215,7.215
"Aug 16, 2002",7.202,-0.18018018,7.202,7.202,7.202
"Aug 17, 2002",7.192,-0.138850319,7.192,7.192,7.192
"Aug 19, 2002",7.176,-0.22246941,7.176,7.176,7.176
"Aug 20, 2002",7.168,-0.11148272,7.168,7.168,7.168
"Aug 21, 2002",7.178,0.139508929,7.178,7.178,7.178
"Aug 22, 2002",7.177,-0.013931457,7.177,7.177,7.177
"Aug 23, 2002",7.18,0.041800195,7.18,7.18,7.18
"Aug 24, 2002",7.176,-0.055710306,7.176,7.176,7.176
"Aug 26, 2002",7.176,0,7.176,7.176,7.176
"Aug 27, 2002",7.174,-0.02787068,7.174,7.174,7.174
"Aug 28, 2002",7.172,-0.02787845,7.172,7.172,7.172
"Aug 29, 2002",7.151,-0.292805354,7.151,7.151,7.151
"Aug 30, 2002",7.159,0.111872465,7.159,7.159,7.159
"Aug 31, 2002",7.161,0.027936863,7.161,7.161,7.161
"Sep 02, 2002",7.173,0.167574361,7.173,7.173,7.173
"Sep 03, 2002",7.161,-0.167294019,7.161,7.161,7.161
"Sep 04, 2002",7.14,-0.293255132,7.14,7.14,7.14
"Sep 05, 2002",7.13,-0.140056022,7.13,7.13,7.13
"Sep 06, 2002",7.177,0.659186536,7.177,7.177,7.177
"Sep 07, 2002",7.177,0,7.177,7.177,7.177
"Sep 09, 2002",7.183,0.08360039,7.183,7.183,7.183
"Sep 11, 2002",7.17,-0.180982876,7.17,7.17,7.17
"Sep 12, 2002",7.163,-0.09762901,7.163,7.163,7.163
"Sep 13, 2002",7.167,0.055842524,7.167,7.167,7.167
"Sep 14, 2002",7.175,0.111622715,7.175,7.175,7.175
"Sep 16, 2002",7.191,0.222996516,7.191,7.191,7.191
"Sep 17, 2002",7.167,-0.333750521,7.167,7.167,7.167
"Sep 18, 2002",7.164,-0.041858518,7.164,7.164,7.164
"Sep 19, 2002",7.164,0,7.164,7.164,7.164
"Sep 20, 2002",7.175,0.153545505,7.175,7.175,7.175
"Sep 21, 2002",7.168,-0.097560976,7.168,7.168,7.168
"Sep 23, 2002",7.171,0.041852679,7.171,7.171,7.171
"Sep 24, 2002",7.177,0.083670339,7.177,7.177,7.177
"Sep 25, 2002",7.187,0.139333984,7.187,7.187,7.187
"Sep 26, 2002",7.18,-0.09739808,7.18,7.18,7.18
"Sep 27, 2002",7.165,-0.208913649,7.165,7.165,7.165
"Sep 28, 2002",7.168,0.041870202,7.168,7.168,7.168
"Sep 30, 2002",7.168,0,7.168,7.168,7.168
"Oct 01, 2002",7.143,-0.348772321,7.143,7.143,7.143
"Oct 03, 2002",7.135,-0.11199776,7.135,7.135,7.135
"Oct 04, 2002",7.125,-0.14015417,7.125,7.125,7.125
"Oct 05, 2002",7.127,0.028070175,7.127,7.127,7.127
"Oct 07, 2002",7.107,-0.280622983,7.107,7.107,7.107
"Oct 08, 2002",7.09,-0.239200788,7.09,7.09,7.09
"Oct 09, 2002",7.094,0.056417489,7.094,7.094,7.094
"Oct 10, 2002",7.087,-0.098674937,7.087,7.087,7.087
"Oct 11, 2002",7.087,0,7.087,7.087,7.087
"Oct 12, 2002",7.078,-0.126993086,7.078,7.078,7.078
"Oct 14, 2002",7.083,0.070641424,7.083,7.083,7.083
"Oct 16, 2002",7.085,0.028236623,7.085,7.085,7.085
"Oct 17, 2002",7.071,-0.197600565,7.071,7.071,7.071
"Oct 18, 2002",7.035,-0.509121765,7.035,7.035,7.035
"Oct 19, 2002",7.034,-0.014214641,7.034,7.034,7.034
"Oct 21, 2002",7.039,0.07108331,7.039,7.039,7.039
"Oct 22, 2002",7.049,0.142065634,7.049,7.049,7.049
"Oct 23, 2002",7.049,0,7.049,7.049,7.049
"Oct 24, 2002",7.051,0.028372819,7.051,7.051,7.051
"Oct 25, 2002",7.059,0.113459084,7.059,7.059,7.059
"Oct 26, 2002",7.054,-0.070831563,7.054,7.054,7.054
"Oct 28, 2002",7.056,0.028352708,7.056,7.056,7.056
"Oct 29, 2002",6.978,-1.105442177,6.978,6.978,6.978
"Oct 30, 2002",6.932,-0.659214675,6.932,6.932,6.932
"Oct 31, 2002",6.925,-0.100980958,6.925,6.925,6.925
"Nov 01, 2002",6.92,-0.072202166,6.92,6.92,6.92
"Nov 02, 2002",6.87,-0.722543353,6.87,6.87,6.87
"Nov 05, 2002",6.863,-0.101892285,6.863,6.863,6.863
"Nov 06, 2002",6.863,0,6.863,6.863,6.863
"Nov 07, 2002",6.813,-0.728544368,6.813,6.813,6.813
"Nov 08, 2002",6.83,0.249522971,6.83,6.83,6.83
"Nov 09, 2002",6.832,0.029282577,6.832,6.832,6.832
"Nov 11, 2002",6.803,-0.424473068,6.803,6.803,6.803
"Nov 12, 2002",6.794,-0.132294576,6.794,6.794,6.794
"Nov 13, 2002",6.763,-0.456284957,6.763,6.763,6.763
"Nov 14, 2002",6.681,-1.212479669,6.681,6.681,6.681
"Nov 15, 2002",6.623,-0.868133513,6.623,6.623,6.623
"Nov 16, 2002",6.618,-0.075494489,6.618,6.618,6.618
"Nov 18, 2002",6.597,-0.31731641,6.597,6.597,6.597
"Nov 20, 2002",6.587,-0.151584053,6.587,6.587,6.587
"Nov 21, 2002",6.531,-0.850159405,6.531,6.531,6.531
"Nov 22, 2002",6.441,-1.378043179,6.441,6.441,6.441
"Nov 23, 2002",6.404,-0.574444962,6.404,6.404,6.404
"Nov 25, 2002",6.424,0.312304809,6.424,6.424,6.424
"Nov 26, 2002",6.409,-0.233499377,6.409,6.409,6.409
"Nov 27, 2002",6.372,-0.577313153,6.372,6.372,6.372
"Nov 28, 2002",6.369,-0.047080979,6.369,6.369,6.369
"Nov 29, 2002",6.454,1.334589417,6.454,6.454,6.454
"Nov 30, 2002",6.425,-0.449333747,6.425,6.425,6.425
"Dec 02, 2002",6.412,-0.20233463,6.412,6.412,6.412
"Dec 03, 2002",6.388,-0.374298191,6.388,6.388,6.388
"Dec 04, 2002",6.367,-0.32874139,6.367,6.367,6.367
"Dec 05, 2002",6.37,0.047117952,6.37,6.37,6.37
"Dec 06, 2002",6.376,0.094191523,6.376,6.376,6.376
"Dec 09, 2002",6.396,0.313676286,6.396,6.396,6.396
"Dec 10, 2002",6.415,0.297060663,6.415,6.415,6.415
"Dec 11, 2002",6.408,-0.109119252,6.408,6.408,6.408
"Dec 12, 2002",6.376,-0.49937578,6.376,6.376,6.376
"Dec 13, 2002",6.362,-0.2195734,6.362,6.362,6.362
"Dec 14, 2002",6.36,-0.031436655,6.36,6.36,6.36
"Dec 16, 2002",6.34,-0.314465409,6.34,6.34,6.34
"Dec 17, 2002",6.323,-0.268138801,6.323,6.323,6.323
"Dec 18, 2002",6.333,0.158152776,6.333,6.333,6.333
"Dec 19, 2002",6.33,-0.047370914,6.33,6.33,6.33
"Dec 20, 2002",6.312,-0.28436019,6.312,6.312,6.312
"Dec 21, 2002",6.277,-0.554499366,6.277,6.277,6.277
"Dec 23, 2002",6.297,0.318623546,6.297,6.297,6.297
"Dec 24, 2002",6.281,-0.254089249,6.281,6.281,6.281
"Dec 26, 2002",6.253,-0.445788887,6.253,6.253,6.253
"Dec 27, 2002",6.215,-0.6077083,6.215,6.215,6.215
"Dec 28, 2002",6.207,-0.128720837,6.207,6.207,6.207
"Dec 30, 2002",6.112,-1.530530047,6.112,6.112,6.112
"Dec 31, 2002",6.083,-0.47447644,6.083,6.083,6.083
"Jan 01, 2003",6.032,-0.838402104,6.032,6.032,6.032
"Jan 02, 2003",6.006,-0.431034483,6.006,6.006,6.006
"Jan 03, 2003",6.046,0.666000666,6.046,6.046,6.046
"Jan 04, 2003",6.056,0.165398611,6.056,6.056,6.056
"Jan 06, 2003",6.017,-0.643989432,6.017,6.017,6.017
"Jan 07, 2003",6.016,-0.016619578,6.016,6.016,6.016
"Jan 08, 2003",6.024,0.132978723,6.024,6.024,6.024
"Jan 09, 2003",6.043,0.315405046,6.043,6.043,6.043
"Jan 10, 2003",6.014,-0.479894092,6.014,6.014,6.014
"Jan 11, 2003",6.009,-0.083139342,6.009,6.009,6.009
"Jan 13, 2003",5.992,-0.28290897,5.992,5.992,5.992
"Jan 14, 2003",5.934,-0.967957276,5.934,5.934,5.934
"Jan 15, 2003",5.945,0.18537243,5.945,5.945,5.945
"Jan 16, 2003",5.933,-0.201850294,5.933,5.933,5.933
"Jan 17, 2003",5.886,-0.792179336,5.886,5.886,5.886
"Jan 18, 2003",5.864,-0.373768264,5.864,5.864,5.864
"Jan 20, 2003",5.872,0.136425648,5.872,5.872,5.872
"Jan 21, 2003",5.866,-0.102179837,5.866,5.866,5.866
"Jan 22, 2003",5.858,-0.136379134,5.858,5.858,5.858
"Jan 23, 2003",5.887,0.495049505,5.887,5.887,5.887
"Jan 24, 2003",5.955,1.155087481,5.955,5.955,5.955
"Jan 25, 2003",5.975,0.335852225,5.975,5.975,5.975
"Jan 27, 2003",6.076,1.690376569,6.076,6.076,6.076
"Jan 28, 2003",6.199,2.02435813,6.199,6.199,6.199
"Jan 29, 2003",6.086,-1.822874657,6.086,6.086,6.086
"Jan 30, 2003",6.294,3.417679921,6.294,6.294,6.294
"Jan 31, 2003",6.323,0.460756276,6.323,6.323,6.323
"Feb 01, 2003",6.145,-2.815119405,6.145,6.145,6.145
"Feb 03, 2003",6.184,0.634662327,6.184,6.184,6.184
"Feb 04, 2003",6.218,0.549805951,6.218,6.218,6.218
"Feb 05, 2003",6.251,0.530717272,6.251,6.251,6.251
"Feb 06, 2003",6.279,0.447928331,6.279,6.279,6.279
"Feb 07, 2003",6.411,2.102245581,6.411,6.411,6.411
"Feb 08, 2003",6.566,2.417719545,6.566,6.566,6.566
"Feb 10, 2003",6.438,-1.949436491,6.438,6.438,6.438
"Feb 11, 2003",6.53,1.429015222,6.53,6.53,6.53
"Feb 12, 2003",6.653,1.883614089,6.653,6.653,6.653
"Feb 14, 2003",6.699,0.691417406,6.699,6.699,6.699
"Feb 15, 2003",6.539,-2.388416182,6.539,6.539,6.539
"Feb 17, 2003",6.324,-3.287964521,6.324,6.324,6.324
"Feb 18, 2003",6.416,1.454775459,6.416,6.416,6.416
"Feb 19, 2003",6.52,1.620947631,6.52,6.52,6.52
"Feb 20, 2003",6.543,0.352760736,6.543,6.543,6.543
"Feb 21, 2003",6.613,1.069845637,6.613,6.613,6.613
"Feb 22, 2003",6.629,0.241947679,6.629,6.629,6.629
"Feb 24, 2003",6.649,0.301704631,6.649,6.649,6.649
"Feb 25, 2003",6.517,-1.985260941,6.517,6.517,6.517
"Feb 26, 2003",6.429,-1.350314562,6.429,6.429,6.429
"Feb 27, 2003",6.471,0.653289781,6.471,6.471,6.471
"Feb 28, 2003",5.966,-7.804048833,5.966,5.966,5.966
"Mar 01, 2003",5.9,-1.106268857,5.9,5.9,5.9
"Mar 03, 2003",6.115,3.644067797,6.115,6.115,6.115
"Mar 04, 2003",6.205,1.471790679,6.205,6.205,6.205
"Mar 05, 2003",6.291,1.385979049,6.291,6.291,6.291
"Mar 06, 2003",6.241,-0.794786203,6.241,6.241,6.241
"Mar 07, 2003",6.425,2.948245473,6.425,6.425,6.425
"Mar 08, 2003",6.444,0.295719844,6.444,6.444,6.444
"Mar 10, 2003",6.479,0.543140906,6.479,6.479,6.479
"Mar 11, 2003",6.414,-1.003241241,6.414,6.414,6.414
"Mar 12, 2003",6.362,-0.810726536,6.362,6.362,6.362
"Mar 13, 2003",6.373,0.172901603,6.373,6.373,6.373
"Mar 15, 2003",6.33,-0.674721481,6.33,6.33,6.33
"Mar 17, 2003",6.464,2.116903633,6.464,6.464,6.464
"Mar 19, 2003",6.457,-0.108292079,6.457,6.457,6.457
"Mar 20, 2003",6.45,-0.108409478,6.45,6.45,6.45
"Mar 21, 2003",6.281,-2.620155039,6.281,6.281,6.281
"Mar 22, 2003",6.239,-0.668683331,6.239,6.239,6.239
"Mar 24, 2003",6.386,2.356146818,6.386,6.386,6.386
"Mar 25, 2003",6.36,-0.40714062,6.36,6.36,6.36
"Mar 26, 2003",6.348,-0.188679245,6.348,6.348,6.348
"Mar 27, 2003",6.289,-0.929426591,6.289,6.289,6.289
"Mar 28, 2003",6.312,0.36571792,6.312,6.312,6.312
"Mar 29, 2003",6.264,-0.760456274,6.264,6.264,6.264
"Mar 31, 2003",6.127,-2.187100894,6.127,6.127,6.127
"Apr 01, 2003",6.071,-0.913987269,6.071,6.071,6.071
"Apr 03, 2003",5.983,-1.449514083,5.983,5.983,5.983
"Apr 04, 2003",5.991,0.133712185,5.991,5.991,5.991
"Apr 05, 2003",5.975,-0.267067268,5.975,5.975,5.975
"Apr 07, 2003",5.97,-0.083682008,5.97,5.97,5.97
"Apr 08, 2003",5.956,-0.234505863,5.956,5.956,5.956
"Apr 09, 2003",5.896,-1.007387508,5.896,5.896,5.896
"Apr 10, 2003",5.878,-0.305291723,5.878,5.878,5.878
"Apr 12, 2003",5.869,-0.153113304,5.869,5.869,5.869
"Apr 16, 2003",5.874,0.085193389,5.874,5.874,5.874
"Apr 17, 2003",5.868,-0.102145046,5.868,5.868,5.868
"Apr 19, 2003",5.861,-0.11929107,5.861,5.861,5.861
"Apr 21, 2003",5.871,0.170619348,5.871,5.871,5.871
"Apr 22, 2003",5.893,0.374723216,5.893,5.893,5.893
"Apr 23, 2003",5.898,0.084846428,5.898,5.898,5.898
"Apr 24, 2003",5.916,0.305188199,5.916,5.916,5.916
"Apr 25, 2003",5.88,-0.60851927,5.88,5.88,5.88
"Apr 26, 2003",5.889,0.153061224,5.889,5.889,5.889
"Apr 28, 2003",5.889,0,5.889,5.889,5.889
"Apr 29, 2003",5.933,0.747155714,5.933,5.933,5.933
"Apr 30, 2003",5.882,-0.859598854,5.882,5.882,5.882
"May 02, 2003",5.937,0.935056103,5.937,5.937,5.937
"May 03, 2003",5.952,0.252652855,5.952,5.952,5.952
"May 05, 2003",5.935,-0.28561828,5.935,5.935,5.935
"May 06, 2003",5.946,0.185341196,5.946,5.946,5.946
"May 07, 2003",5.937,-0.15136226,5.937,5.937,5.937
"May 08, 2003",5.914,-0.387401044,5.914,5.914,5.914
"May 09, 2003",5.913,-0.016909029,5.913,5.913,5.913
"May 10, 2003",5.917,0.067647556,5.917,5.917,5.917
"May 12, 2003",5.919,0.033800913,5.919,5.919,5.919
"May 13, 2003",5.9,-0.321000169,5.9,5.9,5.9
"May 14, 2003",5.897,-0.050847458,5.897,5.897,5.897
"May 17, 2003",5.87,-0.457859929,5.87,5.87,5.87
"May 19, 2003",5.863,-0.119250426,5.863,5.863,5.863
"May 20, 2003",5.86,-0.051168344,5.86,5.86,5.86
"May 21, 2003",5.834,-0.443686007,5.834,5.834,5.834
"May 22, 2003",5.834,0,5.834,5.834,5.834
"May 23, 2003",5.805,-0.497086047,5.805,5.805,5.805
"May 24, 2003",5.794,-0.189491817,5.794,5.794,5.794
"May 26, 2003",5.787,-0.120814636,5.787,5.787,5.787
"May 27, 2003",5.797,0.172801106,5.797,5.797,5.797
"May 28, 2003",5.785,-0.207003623,5.785,5.785,5.785
"May 29, 2003",5.8,0.259291271,5.8,5.8,5.8
"May 30, 2003",5.793,-0.120689655,5.793,5.793,5.793
"May 31, 2003",5.797,0.069048852,5.797,5.797,5.797
"Jun 02, 2003",5.813,0.27600483,5.813,5.813,5.813
"Jun 03, 2003",5.81,-0.051608464,5.81,5.81,5.81
"Jun 04, 2003",5.794,-0.275387263,5.794,5.794,5.794
"Jun 05, 2003",5.777,-0.293406973,5.777,5.777,5.777
